"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0T9M0","2020-04-03 00:00:00","92.000","330.000","2.100","19.900","0.910","1011.100","","0.000","-99.000","-99.000","-99.000","23.600","","17.300",""
"C0AI00","2020-04-03 00:00:00","188.000","37.000","0.700","18.200","0.950","998.500","","11.500","-99.000","-99.000","-99.000","22.000","","15.300",""
"C0AC40","2020-04-03 00:00:00","1079.000","80.000","4.600","12.800","0.990","897.700","","17.000","-99.000","-99.000","-99.000","16.400","","8.700",""
"C0A930","2020-04-03 00:00:00","216.000","85.000","1.700","17.300","0.990","993.800","","23.500","-99.000","-99.000","-99.000","17.300","","14.800",""
"C0A640","2020-04-03 00:00:00","241.000","0.000","0.000","17.600","0.910","993.700","","11.500","-99.000","-99.000","-99.000","19.300","","14.000",""
"C0I420","2020-04-03 00:00:00","305.000","0.000","0.000","19.600","0.920","983.200","","9.500","-99.000","-99.000","-99.000","24.500","","16.300",""
"C0R170","2020-04-03 00:00:00","26.000","170.000","0.800","22.000","1.000","1014.600","","0.000","-99.000","-99.000","-99.000","27.200","","21.100",""
"C0M530","2020-04-03 00:00:00","1385.000","56.000","0.300","15.000","0.950","872.500","","3.500","-99.000","-99.000","-99.000","21.600","","13.900",""
"C0H960","2020-04-03 00:00:00","120.000","0.000","0.200","19.800","1.000","1002.800","","7.500","-99.000","-99.000","-99.000","23.100","","17.100",""
"C0V620","2020-04-03 00:00:00","18.000","159.000","0.700","22.100","0.990","1015.600","","0.000","-99.000","-99.000","-99.000","24.800","","19.300",""
"C0X280","2020-04-03 00:00:00","22.000","34.000","3.400","20.800","0.850","1015.600","","0.500","-99.000","-99.000","-99.000","21.900","","17.800",""
"C0AH40","2020-04-03 00:00:00","426.000","349.000","2.000","18.100","0.940","968.700","","14.500","-99.000","-99.000","-99.000","18.600","","14.400",""
"C0T9A0","2020-04-03 00:00:00","498.000","0.000","0.000","16.100","0.990","963.800","","1.500","-99.000","-99.000","-99.000","18.600","","13.700",""
"C0AD10","2020-04-03 00:00:00","27.000","240.000","0.400","18.200","0.960","1016.200","","15.000","-99.000","-99.000","-99.000","22.200","","16.600",""
"C0Z220","2020-04-03 00:00:00","589.000","262.000","1.200","16.200","1.000","954.600","","3.000","-99.000","-99.000","-99.000","19.500","","13.500",""
"C0Z180","2020-04-03 00:00:00","34.000","17.000","0.300","19.400","0.940","1015.900","","2.000","-99.000","-99.000","-99.000","22.100","","18.100",""
"C0K420","2020-04-03 00:00:00","42.000","4.000","2.900","19.200","0.890","1013.200","","1.000","-99.000","-99.000","-99.000","22.100","","16.800",""
